50,12720,0
51,12383,0
52,12099,0
53,11861,0
54,11448,0
55,11027,0
56,10584,0
57,10150,0
58,9713,0
59,9294,0
60,8740,0
61,8334,0
62,7877,0
63,7411,0
64,6990,0
65,6577,0
66,6203,0
67,5886,0
68,5633,0
69,5362,0
70,5071,0
71,4765,0
72,4479,0
73,4150,0
74,3842,0
75,3480,0
76,3190,0
77,2937,0
78,2675,0
79,2422,0
80,2237,0
81,2080,0
82,1921,0
83,1789,0
84,1682,0
85,1578,0
86,1483,0
87,1399,0
88,1301,0
89,1232,0
90,1147,0
91,1057,0
92,990,0
93,922,0
94,853,0
95,799,0
96,741,0
97,695,0
98,653,0
99,611,0
100,570,0
101,544,0
102,516,0
103,490,0
104,463,0
105,436,0
106,408,0
107,394,0
108,380,0
109,365,0
110,366,0
111,354,0
112,341,0
113,344,0
114,349,0
115,341,0
116,333,0
